Rank,Score,Autonomous Coding Skills,Driver Skills,Team Number,Team Name,Organization,Event Region
49,409,201,208,3211H,∅[ИULL]∅,Diamond Bar Robotics,California - South
50,409,179,230,57772A,眉山市青少年活动中心,四川眉山市青少年活动中心,East China
51,409,154,255,2585A,Eggroll,2585,Massachusetts
52,406,149,257,839C,// Caution Tape Charlie //,Caution Tape Robotics ////,Ontario
53,405,190,215,95111C,To Be Excellent,Beijing Haidian District Renbei Experimental School,North China
54,405,126,279,6565N,Tech Interns,RoboPlanet Richmond 02,British Columbia (BC)
55,404,203,201,99280V,BL,BL,South China
56,404,166,238,84B,Timberline Tech Titans,TIMBERLINE MIDDLE SCHOOL,Washington
57,404,145,259,66799Y,AST-onishing Y,American School in Taichung,Chinese Taipei
58,402,201,201,99280W,BL-1,BL,South China
59,402,201,201,99280F,BL,BL,South China
60,402,128,274,20160H,GIANT,THCS LY TU TRONG,Vietnam
61,399,181,218,7342X,朱雀Plus队,Robot.X.Lab.JS,North China
62,399,201,198,6699G,OP Turtle,Taiwan Robotics Lab,Chinese Taipei
63,399,123,276,46032B,VEDAK Robotics,Creekside Middle School,Indiana - Region 2 - Central
64,398,190,208,3088R,Lotus Root,Tzu Chi Academy,California - South
65,397,168,229,9666F,上海市南洋模范初级中学,上海市南洋模范初级中学,East China
66,393,209,184,8588X,Tsingtao Bymax Team,QINGDAO GALAXY INTERNATIONAL SCHOOL,Middle China
67,392,144,248,3211G,The Scorpions,Diamond Bar Robotics,California - South
68,392,146,246,13789X,Tech Knights,AIMachine,Georgia
69,391,181,210,2876C,雷鸣,kb_group,North China
70,390,179,211,99239B,Gao Xinxia,XI'AN GAOXIN NO. 1 MIDDLE SCHOOL,West China
71,390,168,222,9911S,9911S,Mech Studio,North China
72,387,168,219,8666X,上海市浦东新区民办协和双语学校,上海浦东新区民办协和双语学校,East China
73,387,130,257,3567A,Techno Titans,AARobo,Georgia
74,386,167,219,78258A,H3O,Working On New Gizmos,Texas - Region 4
75,383,157,226,932S,Sapphire,北京市三帆中学,North China
76,383,128,255,127X,Spark XLNC,PACIFIC COAST ACADEMY,California - South
77,380,168,212,2205R,Cosmic Raiders,Robospark,Washington
78,380,170,210,95133F,Instant Noodles,San Jose STEM,California - North
79,379,167,212,49788A,The Devastators 2.0,Devastator 2.0,New Jersey
80,379,133,246,20259V,VIC-A80,THCS Cầu Giấy,Vietnam
81,378,201,177,66696X,66696X,chaonengshiyanshi,West China
82,375,112,263,10837R,Riptide,TechBlazers,Ontario
83,373,110,263,9933Y,Cybot-Lonosphere,Cybot Robotics Academy,British Columbia (BC)
84,372,135,237,12248A,FrogBotz,FrogBotz,Indiana - Region 2 - Central
85,371,171,200,6677N,ReSOLution,Dr. Player Robotic Lab . Nantou,Chinese Taipei
86,371,170,201,86995G,86995G,北京百博优能教育科技有限公司,North China
87,368,149,219,3722U,Quasar,The Frazer School,Florida - North/Central
88,368,99,269,921A,daxiaobao,Shanghai Soong Ching Ling School‌,East China
89,367,110,257,3383F,Amethyst,ORCHARD HILLS,California - South
90,366,165,201,8818M,Mercury,Roboplanet,British Columbia (BC)
91,365,164,201,22250C,Little Elephants,EL RANCHO CHARTER SCHOOL,California - South
92,365,164,201,99280D,BL,BL,South China
93,364,138,226,11110C,GJHS-Room Temperature,BARBARA AND HANK GREENSPUN JUNIOR HIGH SCHOOL,Nevada
94,363,123,240,276C,Robotex Ninjas,VEX Family Team Alliance-TEXAS,Texas - Region 5
95,362,157,205,7627X,7627X,Teacher He's Robot Studio,South China
96,362,112,250,21136A,Capybara,Magikid Highland Park,Texas - Region 2
97,360,135,225,78M,TrailBlazers,Trailblazer Robotics,Georgia
98,359,110,249,9698X,Apex Stars,北京未来源科技教育,North China
99,359,56,303,839B,// Caution Tape Beta //,Caution Tape Robotics ////,Ontario
100,357,111,246,78151N,Byting Bulldogs,Colonel Wheeler Middle School,Indiana - Region 1 - North
101,357,63,294,969A,STEMSTAR-King Arthur,International Department of the Second Affiliated High School of East China Normal University,East China
102,356,175,181,58852B,Shadowbots,Knox Robotic League,Tennessee
103,356,110,246,46032A,Atom Splicers,Creekside Middle School,Indiana - Region 2 - Central
104,354,135,219,47A,Fuzzy Logic,Evergreen Middle School PTSA,Washington
105,352,110,242,8269A,Jiuzhe,Shanghai Xincheng School,East China
106,348,128,220,30041B,BOTZILLA,LAKESIDE MIDDLE SCHOOL,Georgia
107,348,112,236,99254K,Gao Xinxia,XI'AN GAOXIN NO. 1 MIDDLE SCHOOL,West China
108,347,146,201,84A,Celestial,Timberline Middle School,Washington
109,347,128,219,63330Z,Zen,Future Sphere,New York-South
110,347,110,237,45318D,Southwood StarBots,SOUTHWOOD MIDDLE SCHOOL,Florida - South
111,346,110,236,19375B,IMSC Team B,Munsang College (Hong Kong Island),Hong Kong
112,345,144,201,65888Z,SRSSS,上海海阳机器人科技有限公司,East China
113,345,110,235,6177G,Ghostly Geckos,Robotfun Academy,Massachusetts
114,345,99,246,3383D,Spark,ORCHARD HILLS,California - South
115,344,117,227,27519A,Monarchs,GenInspired,North Carolina
116,343,135,208,46000A,Curious Coders,None,Pennsylvania - East
117,342,160,182,499A,bhyve,Johnson Robotics,Utah
118,341,112,229,12357Y,Beyond Infinity,Infinite Robotics,New York-South
119,341,112,229,2205B,The Four Musketeers,Robospark,Washington
120,340,121,219,60027B,Resovia Quantum Eagles,Zespół Szkolno-Przedszkolny nr 6 w Rzeszowie,Poland
121,340,110,230,5714G,Stingray,Edubot,California - South
122,339,171,168,58051V,杭州二中白马湖教育集团,杭州二中白马湖教育集团,East China
123,339,116,223,57775A,Chick-A-BOOMS,Northeast Robotics,Connecticut
124,339,110,229,6441B,STEM SQUAD Robotics (B),HOWARD D. MCMILLAN MIDDLE SCHOOL,Florida - South
125,339,110,229,29627Y,Maverick,Bixby Middle School,Oklahoma
126,338,119,219,2131B,AGHHHHHHHHHHHH,Kaysville Robotics Association,Utah
127,338,90,248,48251D,Sapphire D,SapphireLab,South Korea
128,337,123,214,593X,RoboHive,机械蜂巢,North China
129,336,110,226,17593V,Flying Bot CNX,Simzone Robotics by ECU=Shop,Thailand
130,336,88,248,45544A,Gao Xinxia,XI'AN GAOXIN NO.1 MIDDLE SCHOOL South,West China
131,335,110,225,7755B,Flaming boys,Shanghai Huimin Middle School,East China
132,335,110,225,10458A,BJ No.80八十中学 A,Beijing No.80 Middle school,North China
133,333,126,207,77766A,PantherBots,Pantherbots,Thailand
134,333,121,212,6177C,DeltaForce,Robotfun Academy,Massachusetts
135,333,121,212,60027A,Resovia Cyber Stars,Zespół Szkolno-Przedszkolny nr 6 w Rzeszowie,Poland
136,333,73,260,13863J,Resilience,Resilience,Vietnam
137,332,90,242,32901A,TaterBots,TaterBots,Tennessee
138,331,120,211,9233G,BASIS International School Shenzhen,BASIS International School Shenzhen,South China
139,331,112,219,14510Y,Fly Eagle,Mingdao high school,Chinese Taipei
140,331,91,240,1024G,"GearCats ""Generals""",FALL CREEK VALLEY MIDDLE SCHOOL,Indiana - Region 2 - Central
141,330,138,192,5868A,MECHABOTS,AR2 ROBOTICS,North Carolina
142,330,112,218,5556A,Hackers IQ,Hackers IQ,North Carolina
143,329,121,208,89984A,Mac G Bulldogs,Mackenzie Glen Public School,Ontario
144,328,127,201,478A,Elevate-Mocha Cookie Crumble,Elevate Tech,Washington
145,328,110,218,31668A,西安市曲江第一学校,西安市曲江第一学校,West China
146,328,110,218,952S,Ridgely Robotics,Ridgely Middle School,Maryland
147,327,119,208,18186A,QZ-A,Guangzhou No.7 Middle School,South China
148,326,69,257,48045A,IIS-Planetary Gears,I-Shou International School,Chinese Taipei
149,325,110,215,77806A,Cyborgs 2.0,BASIS AHWATUKEE,Arizona
150,324,122,202,30703A,Tidal Wave,Independent Team,California - North
151,324,114,210,55580E,Axobotl,Denla British School,Thailand
152,324,110,214,90418B,Tiki Techs,Horizon Jr High,Utah
153,323,115,208,2076E,Soggy Syntax,Knox Grammar School,Australia
154,323,82,241,4777X,RoboNinjas,Private,California - South
155,322,121,201,65165E,65165E,Qingdao MAX Lab,Middle China
156,321,140,181,89888A,Pindemonium,8 Forges Robotics,North Carolina
157,321,86,235,37311C,37311 Xterrabots,Independent Team,Tennessee
158,320,131,189,46032C,Medium Macs,Creekside Middle School,Indiana - Region 2 - Central
159,320,112,208,84W,Charged Creepers,TIMBERLINE MIDDLE SCHOOL,Washington
160,319,127,192,11686B,Burger Boys,NEW PALESTINE JR HIGH SCHOOL,Indiana - Region 2 - Central
161,319,118,201,29627W,Microsoft Support,Bixby Middle School,Oklahoma
162,319,110,209,6699C,Electric Bear,Taiwan Robotics Lab,Chinese Taipei
163,318,128,190,60141A,Waitara Sting Squad,Waitara Public School,Australia
164,318,110,208,10837T,Mix and Matched Potatoes,TechBlazers,Ontario
165,318,110,208,66785V,BASIS International School Wuhan,BASIS International School Wuhan,Middle China
166,318,110,208,85974G,Wa-Nee:  Gigawatts,NorthWood Middle School,Indiana - Region 1 - North
167,318,74,244,4270A,The Crusaders A,Saint Louis School,Hawaii
168,317,99,218,7755A,Sparking boys,Shanghai Yangjing Juyuan Experimental School,East China
169,316,127,189,55580G,Critical Hit,Denla British School,Thailand
170,316,119,197,84N,Circuit Breakers,TIMBERLINE MIDDLE SCHOOL,Washington
171,316,112,204,10700A,Lynx,Great Minds Robotics,California - South
172,316,91,225,5320X,Team X - Robostem,Team X,Indiana - Region 1 - North
173,315,80,235,929V,Hereford Zone Robotics,Hereford Middle School,Maryland
174,314,110,204,2613A,Paraducks,The Innovation Story,India
175,314,84,230,75263A,WarriorbotsJH,WOODLAN JR/SR HIGH SCHOOL,Indiana - Region 1 - North
176,313,112,201,994K,Kaleidoscope,Future Sphere Syosset,New York-South
177,313,112,201,9233V,BASIS International School Shenzhen,BASIS International School Shenzhen,South China
178,313,110,203,94888A,ACE,Lushan International Experimental School,Middle China
179,313,110,203,25425A,Knuckle Sandwich - Vengeance,Knuckle Sandwich,Alabama
180,313,110,203,3369P,Brownie Brittles,Irvine Robotics,California - South
181,313,110,203,90007A,Hydrobots,PAUL REVERE CHARTER MIDDLE,California - South
182,313,110,203,25812U,EDS - Dream works,Edison An Khánh,Vietnam
183,313,84,229,7192X,Tech Transformers,Mindfactory,India
184,312,128,184,3332E,EdgeWalker,Curious X-Lab,Chinese Taipei
185,311,121,190,20259E,SuperNova,20259E,Vietnam
186,311,110,201,38968H,EDS_Gravity,Edison Schools,Vietnam
187,311,110,201,16898V,Electronic Enigma,Davis Youth Robotics,California - North
188,311,110,201,31337A,The Nutria Rats,MOUNTAIN BROOK JUNIOR HIGH SCHOOL,Alabama
189,311,110,201,1087X,Steel Squadron,深圳立爱科技培训有限公司,South China
190,311,110,201,2999J,CLUTCH CREW,CodeLab,Thailand
191,311,110,201,24935A,EmojiBots Alpha,EmojiBots All,Thailand
192,311,86,225,45318A,Southwood StarBots,SOUTHWOOD MIDDLE SCHOOL,Florida - South
193,310,110,200,839G,// Caution Tape //,Caution Tape Robotics ////,Ontario
194,310,84,226,66888C,66888C,佛山市南海区石实实验学校,South China
195,309,84,225,55821C,Pintax Error,EAST RIDGE MIDDLE SCHOOL,Florida - North/Central
196,309,84,225,46032F,Super Mario Brobots,Creekside Middle School,Indiana - Region 2 - Central
197,307,99,208,80066B,Burning Brain,YaLi Tianxin Midddle School Of Changsha,Middle China
198,307,99,208,9686B,Valkyrja,XI'AN TIEYILUGANGZHONGXUE,West China
199,307,99,208,58766E,Gameboys,Omotec,India
200,306,116,190,1058A,The coders,Home,New York-South
201,305,88,217,30041C,Lakeside 30041 C,LAKESIDE MIDDLE SCHOOL,Georgia
202,304,73,231,3373A,Olliebots,"Shoreline Robotics of Northford, CT",Connecticut
203,304,84,220,90804Z,Decepticogs,Robo-Reboot,Indiana - Region 2 - Central
204,303,84,219,2114A,IntelliMeX,IntelliMechs,Tennessee
205,302,110,192,48495H,Brobots,Rovers Robotics,New Zealand
206,302,110,192,20698X,Maui Lani,Maui Lani,Hawaii
207,302,110,192,50013C,SKHHTCSS C,S.K.H. Holy Trinity Church Secondary School,Hong Kong
208,302,99,203,3088C,Lotus Seed,Tzu Chi Academy,California - South
209,302,84,218,2048A,LockDown,Elevations,Michigan
210,301,89,212,62153A,CMS1,Concordia Middle & High School,Chinese Taipei
211,301,84,217,5280B,Screaming Potatoes,SOARING HEIGHTS PK-8,Colorado
212,300,130,170,47979A,Pneumatics Beasts,Private Team,North Carolina
213,300,110,190,9964E,Greenwood Robodogs,GREENWOOD JUNIOR HIGH SCHOOL,Arkansas
214,300,110,190,21159E,CHAMPLANNING,北京外国语大学附属中学,North China
215,300,99,201,8866B,8866B,Shanghai Loushan Middle School,East China
216,300,47,253,47T,Vortex,EVERGREEN MIDDLE SCHOOL PTSA,Washington
217,299,98,201,2205J,The Legends,Robospark,Washington
218,298,62,236,4010S,◕CSAA◕ Something Super,CSAAFuture,Ontario
219,298,86,212,31337W,Womp Womp,MOUNTAIN BROOK JUNIOR HIGH SCHOOL,Alabama
220,296,179,117,45544X,Gao Xinxia,XI'AN GAOXIN NO. 1 MIDDLE SCHOOL South,West China
221,296,117,179,99280K,Yingyuehu,yingyuehu,South China
222,296,106,190,7531A,Quantum Stackers,Quantum Robotics,North Carolina
223,296,88,208,36363B,F-CREW,Trường THPT FPT Tây Hà Nội,Vietnam
224,296,84,212,12184Z,Delta,The Olympia Schools,Vietnam
225,295,86,209,91445E,Attack of the Sentinels,WILLIAM S GUY MIDDLE SCHOOL,Ohio
226,294,138,156,4851Y,Amazing-JAC,Guangzhou Yucai Primary School,South China
227,294,102,192,28134G,O.R.C.A.,Otwell Middle School,Georgia
228,294,93,201,2549A,Frappuccino Frogs,Private / Independent Team,California - South
229,294,91,203,1025A,Penguin Robotics,The Yang Family,Alabama
230,294,84,210,30041A,Lakeside Avail Bots,LAKESIDE MIDDLE SCHOOL,Georgia
231,294,73,221,1140D,Discobots Canada,XM Robotics,Ontario
232,293,58,235,3211A,Last Pin Standing,Diamond Bar Robotics,California - South
233,293,84,209,10700Z,Fluffy Bunny,Great Minds Robotics,California - South
234,292,91,201,62569A,VSP-01,VANKE SCHOOL PUDONG,East China
235,292,84,208,2205C,Goofy Tangerines,Robospark,Washington
236,292,84,208,6441A,STEM SQUAD Robotics (A),HOWARD D. MCMILLAN MIDDLE SCHOOL,Florida - South
237,292,67,225,2623S,Super Saiyan,Island Robotics,Hawaii
238,291,27,264,422A,Kengineers,WEST POINT JR HIGH,Utah
239,290,110,180,4815A,CPC Robotics A,WEO Chang Pui Chung Memorial School,Hong Kong
240,290,110,180,13765C,MTS_OMN1,Merchant Taylors' School,United Kingdom
241,290,89,201,8877S,8877S,MingZhu primary school,East China
242,289,70,219,7323W,Storm Breakers,experimental school affiliated to Shanghai west south Wei Yu middle school,East China
243,289,98,191,1909C,CHESSTRONICS GEARMATES,Chesstronics Academy (CODE-CREATE-CHECKMATE),Georgia
244,289,87,202,66799C,AST-onishing C,American School in Taichung,Chinese Taipei
245,289,84,205,11030A,Robotech Acceleration,Robotech Educational Services Inc.,New Jersey
246,288,87,201,2831D,Electric Eagles,South Forsyth Middle School,Georgia
247,288,80,208,17947A,The Vulcans,Homegrown,Texas - Region 3
248,288,80,208,794B,RobotiX Institute,RobotiX Institute,Tennessee
249,288,73,215,11686R,Buccaneers,NEW PALESTINE JR HIGH SCHOOL,Indiana - Region 2 - Central
250,287,99,188,36409A,Potato Strike Force: Rebaked,MEAD MIDDLE SCHOOL,Colorado
251,287,86,201,5813H,Hammerhead Sharks,SHORELINE JUNIOR HIGH,Utah
252,287,69,218,4815B,CPC Robotics B,WEO Chang Pui Chung Memorial School,Hong Kong
253,287,69,218,3369B,Over Drive,Irvine Robotics,California - South
254,286,106,180,8666A,8666A,上海市第五十二中学地址,East China
255,286,74,212,183A,Harry Botter,Private Team,Virginia
256,286,68,218,3078B,Tri-North Robotics,Tri-North Middle School,Indiana - Region 3 - South
257,285,112,173,3211E,The Fireworks that Don't Work,Diamond Bar Robotics,California - South
258,285,84,201,46168A,Adenosine Triphosphate,PYRE Robotics,Indiana - Region 2 - Central
259,285,84,201,94605A,Max IQ,SJPF Robotics,North Dakota
260,285,84,201,478S,Elevate-SuperBots,Elevate Tech,Washington
261,285,84,201,86752A,Crazy Minions,Amanda Peng,New Brunswick/Nova Scotia/Prince Edward Island
262,284,91,193,82717K,BotBusters,SAGE VALLEY JUNIOR HIGH SCHOOL,Wyoming
263,284,87,197,1065C,Ctrl-Alt-Elite,Lanier Middle School,Texas - Region 3
264,284,77,207,36409C,Techno Ducks,MEAD MIDDLE SCHOOL,Colorado
265,284,37,247,78X,TrailBlazers,Trailblazer Robotics,Georgia
266,283,98,185,31614C,Robo Rizzlers,MAURINE CAIN MIDDLE,Texas - Region 2
267,283,80,203,54667C,Norse Force,Westby Middle School,Wisconsin
268,282,2,280,45544B,Gao Xinxia,XI'AN GAOXIN NO.1 MIDDLE SCHOOL South,West China
269,281,84,197,1065B,Team Tinted,Lanier Middle School,Texas - Region 3
270,281,84,197,47201A,Blitz Botz,CENTRAL MIDDLE SCHOOL,Indiana - Region 3 - South
271,281,80,201,77021D,Stealers,"City of Riihimaki, Harjunrinteen koulu",Finland
272,281,73,208,10515B,Phantoms,J WILLIAM FULBRIGHT JUNIOR HIGH SCHOOL,Arkansas
273,281,73,208,40436A,40436A,Beijing Jiao Tong University Affiliated High School,North China
274,280,98,182,66990Z,Elite,Dr. Player Robotic Lab . Taichung,Chinese Taipei
275,280,88,192,33330A,OSIRIS OPERATORS,STEM AI,Egypt
276,278,99,179,2285D,Ghostbots,DC,Texas - Region 5
277,278,88,190,10458C,BJ No.80八十中学 C,Beijing No.80 Middle school,North China
278,278,84,194,11551X,Team Mango,BASIS INDEPENDENT SILICON VALLEY,California - North
279,276,91,185,6611V,Universe,Dr.player robotics lab Zhubei,Chinese Taipei
280,276,84,192,52111A,Invictus,Investigator College,Australia
281,276,84,192,994J,Juggernauts,Future Sphere Syosset,New York-South
282,276,84,192,91108B,Mango,SAN MARINO ROBOTICS LAB,California - South
283,276,75,201,49110X,✧(๑•̀ㅂ•́)و✧EACH✧//Practice//,Create Minds,South China
284,275,110,165,9937A,Dragon Slayers,Watchung-Millburn Robotics ,New Jersey
285,275,91,184,37837B,The Bad Batch,Dark Side Robotics,Colorado
286,274,98,176,31614F,Mech Mavericks,MAURINE CAIN MIDDLE,Texas - Region 2
287,274,110,164,80066G,Golden Brain,CHANGJUN BILINGUAL SCHOOL,Middle China
288,274,86,188,48952F,BEST-OWLS,BEST-Sabel Bildungseinrichtungen gGmbH,Germany
289,274,84,190,2205E,The Void,Robospark,Washington
290,274,84,190,9261A,Botato Chips,Ro-Ro-Ro your Bot,California - North
291,273,110,163,55566X,A计划2队,Plan A Technology Growth Center,Middle China
292,272,90,182,3211D,Team and,Diamond Bar Robotics,California - South
293,272,75,197,184A,Override,Timberline Middle School,Washington
294,272,42,230,3287A,Crazy Lemon,Shanghai International Studies University Songjiang Foreign Language School,East China
295,271,100,171,74306A,Caulfield Grammar Wheelers Middle,Caulfield Grammar School wheelers hill,Australia
296,271,84,187,8432B,V Cube,JMJ Robotics,Arizona
297,271,59,212,54037F,The Milky Ways,The Canadian International School Guangzhou,South China
298,270,84,186,80821C,Low Expectations,ETOWAH MIDDLE SCHOOL,Alabama
299,270,80,190,478E,Elevate-Evade EGO,Elevate Tech,Washington
300,270,80,190,770Z,Re-imagine Robotics Zero Gravity,Re-imagine Robotics,Georgia
301,270,80,190,16885A,Robotic Monkeys,Independent Team,South Carolina
302,270,62,208,48495B,Owls,Rovers Robotics,New Zealand
303,268,120,148,91416Y,Why Not,Wahoo Robotics (Saunders Catholic Schools & Wahoo Public Schools),Nebraska
304,267,36,231,78N,TrailBlazers,Trailblazer Robotics,Georgia
305,266,112,154,5004W,MechaCoding W,MechaCoding Academy,South Korea
306,266,84,182,44844K,Synergy,Neenah Middle School,Wisconsin
307,266,2,264,87660A,The Rotten Omelettes,FS Education Brooklyn,New York-South
308,265,110,155,583A,RoboHive,RoboHive,North China
309,265,84,181,7192Y,Fusion Bots,Mindfactory,India
310,263,73,190,8865S,Blitz Bots,School of STEM,India
311,262,110,152,1715X,CyberX,Hopkinton Middle School,Massachusetts
312,261,118,143,8882C,KMYLS,Kwong Ming Ying Loi School,Hong Kong
313,261,84,177,93558B,The Giant Debras and the Little Debbie,REEDS SPRING INTERMEDIATE,Missouri
314,261,60,201,66777A,66777A,北京昇元信奥国际教育科技有限公司,North China
315,260,90,170,10452E,Minebots,Haslett Robotics Club,Michigan
316,260,86,174,74801F,THE GOATS,WESTWOOD MIDDLE SCHOOL,Florida - North/Central
317,259,84,175,40101Z,Chaos Penguins,Mountain View Junior High School,Utah
318,258,91,167,6655S,SHL,Dr.player robotics lab Taipei,Chinese Taipei
319,256,4,252,50491F,fizzybizzydizzy,GATEWAY SCIENCE ACADEMY OF ST. LOUIS - MIDDLE,Missouri
320,255,98,157,50013A,SKHHTCSS A,SKH Holy Trinity Secondary School,Hong Kong
321,255,84,171,48251N,Sapphire Islander,SapphireLab,South Korea
322,255,84,171,3182A,MustardSeeds,Lexington STEM Robotics Inc.,Kentucky
323,255,84,171,84V,Fiery Phoenix,TIMBERLINE MIDDLE SCHOOL,Washington
324,255,70,185,67899A,Crazy Raccoon,PU TAI JUNIOR HIGH SCHOOL,Chinese Taipei
325,255,52,203,3030A,Biscuit Robotics A,Biscuit Robotics,Texas - Region 3
326,255,48,207,39920A,AT-AT,Chasewood Learning,Illinois
327,255,36,219,3722X,Uprising,The Frazer School,Florida - North/Central
328,254,80,174,27493X,Cerberus,Independent Team,United Kingdom
329,254,17,237,40436B,40436B,Beijing Jiao Tong University Affiliated High School,North China
330,253,101,152,2205Z,TriloBytes,Robospark,Washington
331,253,41,212,15167B,WHOLE LOTTA RED,Brighton College Vietnam,Vietnam
332,253,7,246,7772A,Strikers,JOHN F. KENNEDY MIDDLE,California - North
333,253,7,246,9408A,Alpha,BC Technology Consulting INC,New York-South
334,252,112,140,5004A,MechaCoding A,MechaCoding Academy,South Korea
335,252,62,190,14335X,XYZ,International School Manila,Philippines
336,251,87,164,94115B,BeQuickly,Private Sanko Schools,Türkiye
337,251,14,237,12357X,Beyond Infinity,Infinite Robotics,New York-South
338,250,125,125,1729W,Wikipedia,International Robotics Academy,Kazakhstan
339,250,110,140,55580A,Cactus Jr.,Denla British School,Thailand
340,250,86,164,17760H,Warrior Chickens,Capitol City Robotics,District of Columbia
341,250,84,166,1418Z,Maverick,The Robot Room,Nebraska
342,250,84,166,31655A,Brain Bots,North Country Robotics,New York-North
343,250,84,166,31097B,TBD,Drake Junior High School,Colorado
344,250,53,197,836A,RoboBees A,growingSTEMS,Maryland
345,249,75,174,1705A,PF Robotics,PF Robotics,Ontario
346,249,84,165,605A,Lightrix,Braden River Middle School,Florida - North/Central
347,248,84,164,4526A,CyberJags,Wilmington Mid Sci Tech Engr Arts Math Magnet,California - South
348,248,84,164,2205D,Pinators,Robospark,Washington
349,248,84,164,10698C,Red Lightning C,MAUI WAENA INTERMEDIATE SCHOOL,Hawaii
350,248,84,164,36075C,5 IQ,private residence,California - North
351,248,84,164,84E,The Good Vibes Tribe,TIMBERLINE MIDDLE SCHOOL,Washington
352,248,80,168,76782A,High Voltage,High Voltage Robotics,West Virginia
353,247,109,138,25425C,Knuckle Sandwich - Velocirabbits,"Knuckle Sandwich Robotics, Inc.",Alabama
354,246,96,150,61317X,JPII S.H.I.E.L.D. Robotics,JOHN PAUL II CATHOLIC SCHOOL,South Carolina
355,246,69,177,1079A,DragonFire Dominators,Vexplorers,Washington
356,246,66,180,595Y,Croissants,Vexkan Robotics Club,Alberta/Saskatchewan
357,245,116,129,83221C,CWN,ClickRobot Central Chaengwattana,Thailand
